institution_name,study_period_start_date,credential,program_length, total_estimated_cost ,student_status,Comments,program_length_type
Vancouver Island University,1770-07-07,,,, Never Attended , No student record at VIU ,
Thompson Rivers University,1770-07-07,Bachelor of Fine Arts,,,,,
University of Victoria,1770-07-07,Bachelor of Arts,4,26668, Attending ,,
North Island College,1770-07-07,Practical Nursing,4,, Attending ,,
Native Education College,2019-09-03,Family and Community Counselling Certificate,1,6551, Hiatus ,,
Vancouver Island University,1770-07-07,Estethics,,, Completed  ,,
Vancouver Island University,1770-07-07,Bachelor of Science in Nursing,,, Completed  ,,
University of the Fraser Valley,1770-07-07,Qualifying Studies,,,,,
Vancouver Island University,1770-07-07,Bachelor of Science in Nursing,,, Completed  ,,
Vancouver Island University,1770-07-07,Welding Foundation and Fitter,,, Completed  ,,
BCIT,2023-05-01,Airline and Flight Operations Commercial Pilot (Fixed-Wing) Diploma,2,75752,,,
North Island College,1770-07-07,Health Care Assistant,,, Never Attended ,,
Capilano University,2022-09-06,Bachelor of Design in Visual Communication,4,52064,,,
Thompson Rivers University,2019-09-04,Bachelor of Arts,4,24100, Attending ,,
Camosun College,2017-09-05,Associate Degree Arts,2,, Hiatus , Last attended 06/19 ,
Vancouver Island University,2018-09-24,Workplace Essential Training,2,, Hiatus ,,
Thompson Rivers University,1770-07-07,Undeclared,,,,,
Vancouver Community College,1770-07-07,Office Admin,1,6500,,,
Vancouver Community College,1770-07-07,Professional Cook 2 Advanced,,,,,
Selkirk College,2021-09-06,Bachelor of Nursing – Bachelor of Science,3,14503,,,
Vancouver Island University,2011-09-06,Bachelor of Arts in Child and Youth Care,4,25000, Hiatus , WDR ,
University of Northen BC,1770-07-07,Elementary Education,,,,,
Okanagan College,1770-07-07,Aboriginal Support Worker Certificate,,, Completed  ,,
Douglas College,2022-01-04,Arts-Associate Degree,2,11281,,,
BCIT,2022-04-01,Accounting Diploma,2,25000,,,
Douglas College,2022-01-04,Certificate in Marketing,1,6154,,,
Douglas College,1770-07-07,Arts-Associate Degree,2,11281,,,
Vancouver Island University,2018-09-04,Unclassified,4,25000, Attending ,,
Vancouver Island University,2022-09-06,Bachelor of Social Work,4,31096,,,
Camosun College,2018-09-05,Health Care Assistant,1,, Hiatus , Last attended 04/19 ,
North Island College,1770-07-07,Heavy Duty Equipment,,, Attending ,,
University of Victoria,1770-07-07,Bachelor of Social Work,,,,,
Okanagan College,2022-10-15,Project Management & Business Admin,3,15793,,,
Nicola Valley Institute of Technology,1770-07-07,,,, Never Attended , Preferred Name: Brittany Parks ,
Douglas College,2018-05-05,General Studies,2,12000, Attending ,,
Capilano University,2022-09-06,Education and Employment Access,1,2144,,,
Emily Carr University of Art & Design,2022-09-06,Bachelor of Design,4,23500,,,
University of the Fraser Valley,2018-09-01,Bachelor of Arts,4,21609, Attending ,,
Vancouver Island University,2022-02-07,Hairdressing Foundation Certificate,1,8700,,,
North Island College,1770-07-07,Aquaculture Tech,,, Completed  ,,
Okanagan College,1770-07-07,Health Care Asssistant,,, Completed  ,,
,1770-07-07,,,,,,
Douglas College,1770-07-07,Diploma Computer & Information Studies,,, Hiatus ,,
University of the Fraser Valley,1770-07-07,Bachelor of Arts,,,,,
Vancouver Island University,1770-07-07,Welding Foundation and Fitter,,, Completed  ,,
Langara College,1770-07-07,Diploma Arts and Science General,,, Hiatus ,,
Okanagan College,2021-05-10,ABE Fundamental Certificate/PNUR 113 (Pre req for Nursing),1,351.62, Completed  ,,
Thompson Rivers University,2018-09-05,Bachelor of Arts in Psychology,4,24000, Hiatus ,,
Okanagan College,1770-07-07,Business Administration Diploma,,,,,
Justice Insitute of British Columbia,2019-09-23,Adult Probation Officer,,293, Completed  ,,
Thompson Rivers University,2018-09-01,Bachelor of Business Administration,4,24100, Attending ,,
Douglas College,1770-07-07,Veterinary Office Animal Care Certificate,,, Completed  ,,
Camosun College,2022-05-01,Associate of Arts Degree,2,22000,,,
Thompson Rivers University,1770-07-07,Bachelor of Science,,,,,
Thompson Rivers University,1770-07-07,Bachelor of Natural Resource Sciences,,, Completed  ,,
Okanagan College,2020-05-04,Health Care Assistant,1,3604, Completed  ,,
University of Victoria,2022-09-06,Bachelor of Social Work,4,27147,,,
University of the Fraser Valley,2019-09-01,Qualifying Studies,,8005, Hiatus ,,
Selkirk College,2019-01-01,Digital Arts,2,, Hiatus , Did not complete program probably due to COVID. ,
Vancouver Island University,2022-09-06,Bachelor of Science,4,31796,,,
Vancouver Community College,2022-09-06,Medical Office Assistant,1,3000,,,
Langara College,1770-07-07,Diploma Kinesiology,,, Hiatus ,,
Okanagan College,2019-09-16,Interior Decorating Certificate,1,, Hiatus , Not complete?  Last attended Fall 2019 ,
Camosun College,2018-09-04,Criminal Justice,2,, Hiatus , Last attended 03/19 ,
Camosun College,2019-01-07,University Transfer,2,, Hiatus ,,
North Island College,1770-07-07,,,, Never Attended ,,
University of British Columbia-Okanagan,2022-09-06,Bachelor of Science,4,22500,,,
College of the Rockies,1770-07-07,Heavy Mechanical ,1,, Completed  ,,
University of Northen BC,2018-09-04,Psychology,4,24565, Attending ,,
Vancouver Island University,1770-07-07,Bachelor of Arts,,, Completed  ,,
Vancouver Island University,2019-09-03,Estethics,1,13269, Completed  ,,
Okanagan College,2019-09-01,Associate of Arts,2,9597.08, Attending ,,
Okanagan College,1770-07-07,PNUR113 (Practical Nursing applicant) course,,, Completed  , Course completed (PNUR 113) ,
Thompson Rivers University,2018-09-05,Bachelor of Arts,4,24100, Attending ,,
Thompson Rivers University,2018-05-13,Bachelor of Business Administration in Human Resource Management,4,24100, Attending ,,
Thompson Rivers University,1770-07-07,Bachelor of Health Science,,,,,
Thompson Rivers University,1770-07-07,Bachelor of Arts,,,,,
Douglas College,2018-09-01,General Studies,2,12000, Hiatus ,,
Thompson Rivers University,1770-07-07,Social Service Worker Certificate,,,,,
Vancouver Island University,2022-09-06,Bachelor of Business/Business,4,26980,,,
University of Northen BC,2022-09-07,Bachelor of Anthropology,4,27576,,,
Langara College,2022-05-09,Applied Soc.Sci and Humanities Diploma,2,12016,,,
Camosun College,2018-09-04,Indigenous Studies,1,, Hiatus , Last attended 12-/18 ,
Vancouver Community College,1770-07-07,Fashion Design,,, Completed  ,,
Thompson Rivers University,1770-07-07,Visual Arts Certificate,,,,,
University of Victoria,1770-07-07,Bachelor of Arts,,, Attending ,,
Vancouver Community College,2019-09-10,Legal,1,6500, Attending ,,
Vancouver Community College,1770-07-07,Health Care Assistant,,,,,
Vancouver Community College,2020-09-02,Graphic Design Yr 1 & 2,2,9500, Completed  ,,
Langara College,2020-01-06,Criminology Diploma ,2,9583, Hiatus ,,
University of Victoria,1770-07-07,Bachelor of Arts,,,,,
North Island College,1770-07-07,,,, Never Attended ,,
BCIT,1770-07-07,Bachelor of Arts,,, Never Attended ,,
Kwantlen Polytechnic University,2017-09-01,Bachelor of Arts in Psychology,4,33240, Hiatus ,,
Camosun College,2018-09-04,College Prep,,, Hiatus , Last attended 02/19 ,
Douglas College,1770-07-07,General Studies,,, Hiatus ,,
Okanagan College,2018-01-03,Associate of Arts,2,9597.08, Hiatus ,,
University of Victoria,1770-07-07,Bachelor of Fine Arts,,, Attending ,,
Thompson Rivers University,1770-07-07,Heavy Duty Equipment Tech Foundation,,,,,
University of Victoria,1770-07-07,Bachelor of Science,,, Attending ,,
Thompson Rivers University,2022-09-06,Bachelor of Arts,4,21960,,Follow up by Carla 2023-Time in care,
BCIT,2022-04-11,Electical Foundation,1,4384,,Denied days in care-Denied in March,
Okanagan College,2022-09-06,Carpentry/Joinery,1,4731,,Denied due to days in care (486),
University of the Fraser Valley,2022-09-10,Welding Foundations,1,5822,,,
University of the Fraser Valley,2022-09-10,Veterinary Admin Certificate,1,8137,,,
University of the Fraser Valley,2022-09-10,Veterinary Admin Assistant,1,8227,,Denied due to days in care (644),
Douglas College,2022-09-06,Diploma in Criminology,2,12305,,,
Camosun College,2022-09-06,Heavy Mechanical Trades,1,4907,,,
Vancouver Island University,2022-06-07,Bachelor of Graphic Design,4,32780,,,
Vancouver Island University,2022-09-06,Bachelor of Arts,4,33600,,,
Kwantlen Polytechnic University,2022-10-17,Welding Foundation Certificate,1,4484.21,,,
Thompson Rivers University,2022-06-01,Social Service Worker Certificate,1,5091,,,
Thompson Rivers University,2022-06-01,Bachelor of General Studies,4,13088,,,
Vancouver Island University,2022-09-06,Social Services Diploma,2,13490,,,
BCIT,2022-07-04,Atutomotive Technician Foundation,1,5330,,,
Okanagan College,2022-06-07,Human Service Work,2,8840,,,
Selkirk College,2022-09-06,Bachelor of Nursing,4,26098.16,,,
Thompson Rivers University,2022-07-01,Diploma in General Studies,2,10200,,,
North Island College,2022-09-06,Carpentry Apprenticeship Levels 100-400,,4500,,,
Vancouver Community College,2022-09-26,Baking & Pastry Arts ,1,5500,,,
Camosun College,2022-09-06,Visual Arts,2,8800,,,
Camosun College,2022-09-06,Interactive Media Developer,2,18800,,,
Camosun College,2022-09-06,Bachelor of Business Admin (Marketing),4,28000,,,
Native Education College,2022-09-06,Family & Community Counselling Certificate,1,7695,,,
BCIT,2022-09-06,Millwright Foundation,1,4369,,,
University of British Columbia,2022-09-06,Bachelor of Science,3,23000,,,
Camosun College,2022-09-06,Diploma in Kinesiology,2,11500,,,
BCIT,2022-09-06,"Diploma in 3D Modeling, Art & Animation ",2,27726,,,
BCIT,2023-01-04,Electrical Foundation,1,4495,,,
Douglas College,2022-09-06,General Studies Diploma,1,2222,,,
BCIT,2022-09-06,Electrical Foundation,1,4496,,,
University of British Columbia-Okanagan,2022-09-06,Bachelor of Science in Nursing,4,25000,,,
University of the Fraser Valley,2022-09-07,Qualifying Studies,1,9024,,,
North Island College,2022-09-06,Bachelor of Arts-Psychology,2,8500,,,
Vancouver Island University,2022-07-05,Social Services Diploma,2,13490,,,
Douglas College,2022-09-06,Associate of Arts Degree,2,12015,,,
Kwantlen Polytechnic University,2022-09-06,Bachelor of Science and Horticulture,4,33348,,,
Simon Fraser University,2022-09-07,BA-Health Sciences,4,27907,,,
Simon Fraser University,2022-09-07,BA-Psychology,4,28207,,,
BCIT,2022-06-01,Applied Software Development Certificate,1,4200,,,
University of Northen BC,2022-09-07,Genreal Arts,4,27696,,,
College of New Caledonia,2022-09-06,Social Service Worker Diploma,2,8403,,,
Simon Fraser University,2022-09-07,Indigenous University Prep Program,1,3057,,,
Simon Fraser University,2022-09-07,Indigenous University Prep Program,1,3057,,,
University of the Fraser Valley,2022-09-06,Welding Foundations,1,5386,,,
University of the Fraser Valley,2022-09-06,Qualifying Studies,1,8468,,,
North Island College,2022-09-06,Adventure Tourism Certificate,1,10500,,,
Simon Fraser University,2022-09-07,Indigenous University Prep Program,2,3057,,,
Okanagan College,2022-09-06,Educational Assistant & Occupational Health & Safety,2,10963,,,
Douglas College,2022-09-06,Certificate in General Business,1,6272,,,
BCIT,2022-09-06,Video Productions and Editing Associate Certificate,1,6000,,,
Camosun College,2022-07-04,Horticulture Technician,1,4801,,,
College of New Caledonia,2022-09-06,Dental Assistant Certificate,1,6365,,,
Langara College,2022-09-06,Associate of Arts in Philosophy,2,12019.17,,,
University of Victoria,2022-09-07,BA Social Science,4,27685,,,
College of New Caledonia,2022-09-06,Social Service Worker UT Diploma,2,8403,,,
Okanagan College,2022-09-07,Business Administration Diploma,2,11408,,,
Okanagan College,2023-02-06,Aircraft Maintenance Engineer Category S,1,8154,,,
Thompson Rivers University,2022-09-06,Bachelor of Arts,4,22520,,,
Okanagan College,2022-09-07,Associate of Arts,2,9816,,,
Okanagan College,2022-09-07,Associate of Arts,2,9816,,,
Coast Mountain College,2022-08-02,Professional Cook Apprentice Level 1,1,2868,,,
Douglas College,2022-09-06,General Studies Diploma,2,13439.84,,,
BCIT,2022-09-26,Piping Foundation,1,4673,,,
Vancouver Community College,2022-09-06,Esthetic and Spa Therapy,1,15385,,,
University of the Fraser Valley,2022-09-06,Bachelor of General Studies/Arts,4,24587,,,
Vancouver Island University,2022-09-06,Social Services Diploma,2,13490,,,
North Island College,2022-09-06,Office Administration Certificate,1,2500,,,
Northern Lights College,2022-09-06,Early Child Educatioin and Care Diploma,2,9400,,,
Vancouver Island University,2022-09-06,Heavy Mechanical Trades Foundation,1,7166,,,
College of the Rockies,2022-09-06,Welding - Level C,1,3808,,,
Langara College,2022-09-06,Associate of Art: Business & Commerce,2,12017,,,
North Island College,2022-09-06,ABE into Uni Transfer,1,5500,,,
Capilano University,2022-09-01,Bachelor of Communication ,4,26556,,,
Okanagan College,2022-08-29,Early Childhood Education,2,9263,,,
Vancouver Island University,2022-09-06,Bachelor of Arts,4,28580,,,
Capilano University,2022-09-01,Art - General,2,11841,,,
University of British Columbia,2022-09-06,Bachelor of Arts,4,29000,,,
University of British Columbia,2022-09-04,Micro-certificate in Cybersecurity Strategy and Risk Management,1,2500,,,
Vancouver Island University,2022-07-22,Community Mental Health Worker Certificate,1,9365,,,
Vancouver Island University,2022-09-06,BA Visual Arts,4,25800,,,
Langara College,2019-01-01,Associate of Arts in English,2,12017,,,
University of the Fraser Valley,2022-09-06,Associate of Arts Degree,2,11422,,,
Vancouver Island University,2022-08-30,Baking and Pastry Arts Management Diploma,2,14730,,,
University of the Fraser Valley,2022-09-06,Bachelor of Arts,4,24587,,,
University of the Fraser Valley,2022-09-06,Bachelor of Fine Arts,4,24587,,,
Langara College,2022-09-06,Arts & Science Diploma,2,12017,,,
Langara College,2022-09-06,Bachelor of Health Studies ,5,25360,,,
College of New Caledonia,2022-09-06,Practical Nurse Diploma,2,13656,,,
Langara College,2022-09-06,Full Stack Web Development,1,2966,,,
University of the Fraser Valley,2022-09-07,Qualifying Studies,1,8827,,,
Okanagan College,2022-08-29,Early Childhood Education,2,9263,,,
Capilano University,2022-09-01,Educational Assistant certificate,2,9340,,,
Okanagan College,2022-09-07,Criminal and Social Justice,2,9542,,,
University of the Fraser Valley,2022-09-07,Early Childhood Education Certificate,2,8704,,,
Royal Roads University,2021-09-13,Masters of Global Management,2,27511,,,
Douglas College,2022-09-06,Music Technology Diploma,1,4053,,,
Vancouver Island University,2022-09-06,Bachelor of Arts,4,28668,,,
University of British Columbia,2022-09-06,Bachelor of Arts,4,29000,,,
Langara College,2022-09-06,Diploma in Fine Arts ,2,24251,,,
University of Victoria,2022-09-01,BA Social Science (undeclared),4,27684,,,
Douglas College,2022-09-06,Youth Justice Diploma,2,15724,,,
North Island College,2022-09-01,Associate Arts Degree,2,5000,,,
Douglas College,2022-09-06,Veterinary Office & Animal Care Certificate,1,7075,,,
Vancouver Community College,2023-01-01,Culinary Arts,1,4984,,,
Douglas College,2022-09-06,Academic Foundations,1,6600,,,
University of the Fraser Valley,2022-09-06,Bachelor of Arts,4,24587,,,
Douglas College,2022-09-06,Youth Justice Diploma,2,14743,,,
Vancouver Community College,2022-09-01,Health Care Assistant,1,3680,,,
Vancouver Community College,2023-01-01,Hair Design,1,8400,,,
University of the Fraser Valley,2022-09-07,Qualifying Studies,1,8468,,,
Capilano University,2022-09-01,Bachelor in Business Administration,4,26788,,,
Simon Fraser University,2022-09-01,Human Resources Management Certificate,3,6816,,,
Langara College,2022-09-06,Arts and Science Engineering Certificate,1,17621,,,
University of the Fraser Valley,2022-09-07,Criminal Justice Diploma,2,11634,,,
Vancouver Island University,2022-09-06,Bachelor of Arts,4,28668,,,
University of British Columbia,2022-09-07,Bachelor of Arts,4,29000,,,
Douglas College,2022-09-06,Criminolgy Diploma,2,18103.16,,,
Douglas College,2022-09-06,Bachelor of Arts-Child and Youth Care,4,40245.32,,,
Thompson Rivers University,2022-09-06,Bachelor of Business,4,22344,,,
Langara College,2022-09-07,Diploma in Kinesiology,2,12017,,,
Nicola Valley Institute of Technology,2022-09-09,Health Care Assit Certificate,1,2459.18,,,
Vancouver Island University,2022-09-06,Community Mental Health Worker,1,9680,,,
